"","survey","eventId","numClicks","numClicks_d1","numClicks_d2","numClicks_d3","numClicks_d4","numClicks_d5","click_medPeakFreq_kHz","click_p25PeakFreq_kHz","click_p75PeakFreq_kHz","numWhistles","whistle_medBeginFreq_Hz","whistle_percBeginFreq4to8kHz","click_lmPeakFreqSlope_Hz","click_lmPeakFreqIntercept_Hz","click_lmPeakFreqRsqd","keep"
"3","CRPGT_2019","1901005",3159,1395,1089,125,0,6,14.3769968051118,11.5814696485623,17.9712460063898,322,6884.765625,0.618012422360248,5.12,8271.13,5.12,TRUE
"4","CRPGT_2019","1901006",623,500,92,11,0,0,12.3801916932907,10.7827476038339,14.3769968051118,132,7470.703125,0.628787878787879,19.03,8773.11,19.03,TRUE
"5","CRPGT_2019","1901007",483,360,101,2,0,0,11.9808306709265,9.98402555910543,14.776357827476,NA,NA,NA,27.94,7352.95,27.94,TRUE
"10","CRPGT_2019","1901017",1707,999,518,53,0,0,13.1789137380192,10.7827476038339,16.7731629392971,110,6298.828125,0.763636363636364,8.21,8591.03,8.21,TRUE
"11","CRPGT_2019","1901019",18,2,11,0,0,1,20.7667731629393,16.0742811501597,25.8586261980831,NA,NA,NA,902.36,13650.33,902.36,TRUE
"15","CRPGT_2019","1901032",263,257,4,0,0,0,8.38658146964856,7.58785942492013,9.58466453674122,NA,NA,NA,32.45,6000.22,32.45,TRUE
"21","CRPGT_2019","1901047",15,10,0,4,0,1,12.779552715655,7.38817891373802,36.9408945686901,NA,NA,NA,4220.15,-3766.74,4220.15,TRUE
"22","CRPGT_2019","1901052",83,9,62,0,0,0,17.9712460063898,16.3738019169329,19.1693290734824,3,4028.3203125,0.666666666666667,131.48,14323.76,131.48,TRUE
