"","survey","eventId","numClicks","numClicks_d1","numClicks_d2","numClicks_d3","numClicks_d4","numClicks_d5","click_medPeakFreq_kHz","click_p25PeakFreq_kHz","click_p75PeakFreq_kHz","numWhistles","whistle_medBeginFreq_Hz","whistle_percBeginFreq4to8kHz","click_lmPeakFreqSlope_Hz","click_lmPeakFreqIntercept_Hz","click_lmPeakFreqRsqd","keep"
"8","MACS_2102","2102009",23,14,4,0,0,4,10.7827476038339,8.18690095846645,20.9664536741214,NA,NA,NA,NA,NA,NA,TRUE
"10","MACS_2102","2102011",1484,1210,87,7,0,22,9.185303514377,5.99041533546326,12.779552715655,NA,NA,NA,NA,NA,NA,TRUE
"11","MACS_2102","2102012",1032,493,281,5,0,5,14.776357827476,11.5814696485623,18.370607028754,28,7250.9765625,0.714285714285714,NA,NA,NA,TRUE
"14","MACS_2102","2102015",5629,4179,978,3,0,0,12.3801916932907,8.78594249201278,14.3769968051118,NA,NA,NA,NA,NA,NA,TRUE
"23","MACS_2102","2102024",45,25,1,7,1,11,9.98402555910543,6.38977635782748,47.1246006389776,NA,NA,NA,NA,NA,NA,TRUE
"24","MACS_2102","2102026",16,14,0,2,0,0,7.58785942492013,6.38977635782748,8.78594249201278,NA,NA,NA,NA,NA,NA,TRUE
"25","MACS_2102","2102027",175,150,1,5,0,7,8.78594249201278,7.58785942492013,9.58466453674122,NA,NA,NA,NA,NA,NA,TRUE
"31","MACS_2102","2102033",205,182,7,0,0,1,11.1821086261981,7.18849840255591,13.1789137380192,NA,NA,NA,NA,NA,NA,TRUE
"47","MACS_2102","2102049",111,34,31,8,0,12,19.1693290734824,12.1805111821086,27.3562300319489,NA,NA,NA,NA,NA,NA,TRUE
"54","MACS_2102","2102057",18311,12700,3702,20,1,15,11.9808306709265,7.18849840255591,14.776357827476,NA,NA,NA,NA,NA,NA,TRUE
"57","MACS_2102","2102060",12265,10358,1091,1,0,9,10.3833865814696,7.18849840255591,13.1789137380192,NA,NA,NA,NA,NA,NA,TRUE
"65","MACS_2102","2102068",14,0,13,0,0,1,17.1725239616613,16.7731629392971,18.6701277955272,NA,NA,NA,NA,NA,NA,TRUE
"66","MACS_2102","2102069",187,154,12,0,0,6,9.98402555910543,7.98722044728435,12.3801916932907,NA,NA,NA,NA,NA,NA,TRUE
"67","MACS_2102","2102070",6115,4622,566,33,0,93,9.98402555910543,6.78913738019169,13.5782747603834,NA,NA,NA,NA,NA,NA,TRUE
"69","MACS_2102","2102072",6109,4619,566,33,0,92,9.98402555910543,6.78913738019169,13.5782747603834,NA,NA,NA,NA,NA,NA,TRUE
"75","MACS_2102","2102079",831,522,5,4,0,0,6.38977635782748,5.99041533546326,9.98402555910543,NA,NA,NA,NA,NA,NA,TRUE
"76","MACS_2102","2102080",3355,1298,1018,122,0,55,15.9744408945687,11.9808306709265,22.3642172523962,985,6445.3125,0.713705583756345,NA,NA,NA,TRUE
"80","MACS_2102","2102085",1993,933,752,0,0,0,14.776357827476,11.9808306709265,17.9712460063898,194,7031.25,0.77319587628866,NA,NA,NA,TRUE
"81","MACS_2102","2102086",4053,1765,1589,1,0,0,15.1757188498403,13.1789137380192,17.9712460063898,422,6811.5234375,0.760663507109005,NA,NA,NA,TRUE
"86","MACS_2102","2102094",700,391,178,4,0,2,13.9776357827476,11.5814696485623,17.1725239616613,207,5859.375,0.8743961352657,NA,NA,NA,TRUE
"95","MACS_2102","2102103",2476,930,1030,33,0,14,15.1757188498403,12.3801916932907,17.9712460063898,122,6042.48046875,0.860655737704918,NA,NA,NA,TRUE
"98","MACS_2102","2102106",48,21,2,5,0,14,19.5686900958466,9.68450479233227,64.0974440894569,NA,NA,NA,NA,NA,NA,TRUE
"102","MACS_2102","2102111",2201,351,1427,55,1,3,18.7699680511182,15.9744408945687,23.1629392971246,4,6665.0390625,0.5,NA,NA,NA,TRUE
"107","MACS_2102","2102116",28,21,5,0,0,2,11.3817891373802,8.38658146964856,14.4768370607029,NA,NA,NA,NA,NA,NA,TRUE
"116","MACS_2102","2102127",13,11,0,0,0,0,9.185303514377,6.38977635782748,9.58466453674122,NA,NA,NA,NA,NA,NA,TRUE
"119","MACS_2102","2102130",630,506,2,0,0,3,8.78594249201278,6.78913738019169,9.98402555910543,7,5712.890625,0.571428571428571,NA,NA,NA,TRUE
