"","survey","eventId","numClicks","numClicks_d1","numClicks_d2","numClicks_d3","numClicks_d4","numClicks_d5","click_medPeakFreq_kHz","click_p25PeakFreq_kHz","click_p75PeakFreq_kHz","numWhistles","whistle_medBeginFreq_Hz","whistle_percBeginFreq4to8kHz","click_lmPeakFreqSlope_Hz","click_lmPeakFreqIntercept_Hz","click_lmPeakFreqRsqd","keep"
"120","MACS_2102","2102132",808,583,21,0,0,1,7.18849840255591,5.99041533546326,10.7827476038339,NA,NA,NA,NA,NA,NA,TRUE
"121","MACS_2102","2102133",167,153,2,0,0,0,7.58785942492013,5.99041533546326,11.9808306709265,NA,NA,NA,NA,NA,NA,TRUE
"123","MACS_2102","2102135",546,159,213,60,0,7,17.3722044728434,12.3801916932907,24.3610223642173,14,6372.0703125,1,NA,NA,NA,TRUE
"134","MACS_2102","2102147",15341,6797,5857,177,0,26,14.776357827476,11.5814696485623,18.370607028754,2432,6152.34375,0.736430921052632,NA,NA,NA,TRUE
"138","MACS_2102","2102151",69,22,25,0,0,2,15.1757188498403,13.1789137380192,17.9712460063898,6,6225.5859375,1,NA,NA,NA,TRUE
"139","MACS_2102","2102152",34,0,28,2,0,0,20.167731629393,19.1693290734824,22.1645367412141,NA,NA,NA,NA,NA,NA,TRUE
"144","MACS_2102","2102157",14,13,0,0,0,1,9.78434504792332,7.38817891373802,11.082268370607,NA,NA,NA,NA,NA,NA,TRUE
"152","MACS_2102","2102167",30,11,11,0,0,1,14.776357827476,14.3769968051118,16.2739616613419,NA,NA,NA,NA,NA,NA,TRUE
"166","MACS_2102","2102182",15,13,1,0,0,0,11.9808306709265,9.98402555910543,12.779552715655,NA,NA,NA,NA,NA,NA,TRUE
"171","MACS_2102","2102187",398,336,6,0,0,6,7.18849840255591,5.99041533546326,11.1821086261981,NA,NA,NA,NA,NA,NA,TRUE
"172","MACS_2102","2102188",166,143,12,0,0,1,6.38977635782748,5.59105431309904,11.1821086261981,NA,NA,NA,NA,NA,NA,TRUE
"174","MACS_2102","2102191",603,511,20,0,0,1,7.18849840255591,5.59105431309904,12.3801916932907,NA,NA,NA,NA,NA,NA,TRUE
"175","MACS_2102","2102193",2945,1661,861,56,0,4,13.9776357827476,11.5814696485623,17.1725239616613,286,6884.765625,0.678321678321678,NA,NA,NA,TRUE
"182","MACS_2102","2102202",45,35,0,0,0,0,10.7827476038339,6.38977635782748,12.779552715655,NA,NA,NA,NA,NA,NA,TRUE
"184","MACS_2102","2102206",34,19,5,0,0,1,14.3769968051118,13.1789137380192,15.8746006389776,NA,NA,NA,NA,NA,NA,TRUE
"185","MACS_2102","2102207",8704,4387,1631,1501,0,180,13.9776357827476,8.38658146964856,27.1565495207668,NA,NA,NA,NA,NA,NA,TRUE
"204","MACS_2102","2102227",285,137,80,2,0,5,14.776357827476,12.3801916932907,19.5686900958466,41,6738.28125,0.536585365853659,NA,NA,NA,TRUE
"211","MACS_2102","2102247",10995,8525,1102,2,0,8,9.58466453674122,6.38977635782748,13.1789137380192,NA,NA,NA,NA,NA,NA,TRUE
"217","MACS_2102","2102253",1474,493,769,2,0,3,15.9744408945687,13.5782747603834,18.7699680511182,197,5932.6171875,0.878172588832487,NA,NA,NA,TRUE
